x,y,y'
-1.000000,-2.000000,11.988004
-0.999000,-1.988012,11.964028
-0.998000,-1.976048,11.940076
-0.997000,-1.964108,11.916148
-0.996000,-1.952192,11.892244
-0.995000,-1.940300,11.868364
-0.994000,-1.928431,11.844508
-0.993000,-1.916587,11.820676
-0.992000,-1.904766,11.796868
-0.991000,-1.892969,11.773084
-0.990000,-1.881196,11.749324
-0.989000,-1.869447,11.725588
-0.988000,-1.857721,11.701876
-0.987000,-1.846019,11.678188
-0.986000,-1.834341,11.654524
-0.985000,-1.822686,11.630884
-0.984000,-1.811056,11.607268
-0.983000,-1.799448,11.583676
-0.982000,-1.787865,11.560108
-0.981000,-1.776305,11.536564
-0.980000,-1.764768,11.513044
-0.979000,-1.753255,11.489548
-0.978000,-1.741765,11.466076
-0.977000,-1.730299,11.442628
-0.976000,-1.718857,11.419204
-0.975000,-1.707437,11.395804
-0.974000,-1.696042,11.372428
-0.973000,-1.684669,11.349076
-0.972000,-1.673320,11.325748
-0.971000,-1.661994,11.302444
-0.970000,-1.650692,11.279164
-0.969000,-1.639413,11.255908
-0.968000,-1.628157,11.232676
-0.967000,-1.616924,11.209468
-0.966000,-1.605715,11.186284
-0.965000,-1.594528,11.163124
-0.964000,-1.583365,11.139988
-0.963000,-1.572225,11.116876
-0.962000,-1.561109,11.093788
-0.961000,-1.550015,11.070724
-0.960000,-1.538944,11.047684
-0.959000,-1.527896,11.024668
-0.958000,-1.516872,11.001676
-0.957000,-1.505870,10.978708
-0.956000,-1.494891,10.955764
-0.955000,-1.483936,10.932844
-0.954000,-1.473003,10.909948
-0.953000,-1.462093,10.887076
-0.952000,-1.451206,10.864228
-0.951000,-1.440341,10.841404
-0.950000,-1.429500,10.818604
-0.949000,-1.418681,10.795828
-0.948000,-1.407886,10.773076
-0.947000,-1.397112,10.750348
-0.946000,-1.386362,10.727644
-0.945000,-1.375635,10.704964
-0.944000,-1.364930,10.682308
-0.943000,-1.354247,10.659676
-0.942000,-1.343588,10.637068
-0.941000,-1.332950,10.614484
-0.940000,-1.322336,10.591924
-0.939000,-1.311744,10.569388
-0.938000,-1.301175,10.546876
-0.937000,-1.290628,10.524388
-0.936000,-1.280103,10.501924
-0.935000,-1.269602,10.479484
-0.934000,-1.259122,10.457068
-0.933000,-1.248665,10.434676
-0.932000,-1.238230,10.412308
-0.931000,-1.227818,10.389964
-0.930000,-1.217428,10.367644
-0.929000,-1.207060,10.345348
-0.928000,-1.196715,10.323076
-0.927000,-1.186392,10.300828
-0.926000,-1.176091,10.278604
-0.925000,-1.165813,10.256404
-0.924000,-1.155556,10.234228
-0.923000,-1.145322,10.212076
-0.922000,-1.135110,10.189948
-0.921000,-1.124920,10.167844
-0.920000,-1.114752,10.145764
-0.919000,-1.104606,10.123708
-0.918000,-1.094483,10.101676
-0.917000,-1.084381,10.079668
-0.916000,-1.074301,10.057684
-0.915000,-1.064244,10.035724
-0.914000,-1.054208,10.013788
-0.913000,-1.044194,9.991876
-0.912000,-1.034202,9.969988
-0.911000,-1.024232,9.948124
-0.910000,-1.014284,9.926284
-0.909000,-1.004358,9.904468
-0.908000,-0.994453,9.882676
-0.907000,-0.984571,9.860908
-0.906000,-0.974710,9.839164
-0.905000,-0.964871,9.817444
-0.904000,-0.955053,9.795748
-0.903000,-0.945257,9.774076
-0.902000,-0.935483,9.752428
-0.901000,-0.925731,9.730804
-0.900000,-0.916000,9.709204
-0.899000,-0.906291,9.687628
-0.898000,-0.896603,9.666076
-0.897000,-0.886937,9.644548
-0.896000,-0.877293,9.623044
-0.895000,-0.867670,9.601564
-0.894000,-0.858068,9.580108
-0.893000,-0.848488,9.558676
-0.892000,-0.838929,9.537268
-0.891000,-0.829392,9.515884
-0.890000,-0.819876,9.494524
-0.889000,-0.810381,9.473188
-0.888000,-0.800908,9.451876
-0.887000,-0.791456,9.430588
-0.886000,-0.782026,9.409324
-0.885000,-0.772617,9.388084
-0.884000,-0.763228,9.366868
-0.883000,-0.753862,9.345676
-0.882000,-0.744516,9.324508
-0.881000,-0.735191,9.303364
-0.880000,-0.725888,9.282244
-0.879000,-0.716606,9.261148
-0.878000,-0.707345,9.240076
-0.877000,-0.698105,9.219028
-0.876000,-0.688886,9.198004
-0.875000,-0.679688,9.177004
-0.874000,-0.670510,9.156028
-0.873000,-0.661354,9.135076
-0.872000,-0.652219,9.114148
-0.871000,-0.643105,9.093244
-0.870000,-0.634012,9.072364
-0.869000,-0.624940,9.051508
-0.868000,-0.615888,9.030676
-0.867000,-0.606857,9.009868
-0.866000,-0.597848,8.989084
-0.865000,-0.588858,8.968324
-0.864000,-0.579890,8.947588
-0.863000,-0.570943,8.926876
-0.862000,-0.562016,8.906188
-0.861000,-0.553110,8.885524
-0.860000,-0.544224,8.864884
-0.859000,-0.535359,8.844268
-0.858000,-0.526515,8.823676
-0.857000,-0.517691,8.803108
-0.856000,-0.508888,8.782564
-0.855000,-0.500105,8.762044
-0.854000,-0.491343,8.741548
-0.853000,-0.482602,8.721076
-0.852000,-0.473881,8.700628
-0.851000,-0.465180,8.680204
-0.850000,-0.456500,8.659804
-0.849000,-0.447840,8.639428
-0.848000,-0.439201,8.619076
-0.847000,-0.430582,8.598748
-0.846000,-0.421983,8.578444
-0.845000,-0.413404,8.558164
-0.844000,-0.404846,8.537908
-0.843000,-0.396308,8.517676
-0.842000,-0.387791,8.497468
-0.841000,-0.379293,8.477284
-0.840000,-0.370816,8.457124
-0.839000,-0.362359,8.436988
-0.838000,-0.353922,8.416876
-0.837000,-0.345505,8.396788
-0.836000,-0.337108,8.376724
-0.835000,-0.328731,8.356684
-0.834000,-0.320375,8.336668
-0.833000,-0.312038,8.316676
-0.832000,-0.303721,8.296708
-0.831000,-0.295425,8.276764
-0.830000,-0.287148,8.256844
-0.829000,-0.278891,8.236948
-0.828000,-0.270654,8.217076
-0.827000,-0.262437,8.197228
-0.826000,-0.254240,8.177404
-0.825000,-0.246063,8.157604
-0.824000,-0.237905,8.137828
-0.823000,-0.229767,8.118076
-0.822000,-0.221649,8.098348
-0.821000,-0.213551,8.078644
-0.820000,-0.205472,8.058964
-0.819000,-0.197413,8.039308
-0.818000,-0.189374,8.019676
-0.817000,-0.181354,8.000068
-0.816000,-0.173354,7.980484
-0.815000,-0.165374,7.960924
-0.814000,-0.157413,7.941388
-0.813000,-0.149471,7.921876
-0.812000,-0.141549,7.902388
-0.811000,-0.133647,7.882924
-0.810000,-0.125764,7.863484
-0.809000,-0.117901,7.844068
-0.808000,-0.110056,7.824676
-0.807000,-0.102232,7.805308
-0.806000,-0.094426,7.785964
-0.805000,-0.086641,7.766644
-0.804000,-0.078874,7.747348
-0.803000,-0.071127,7.728076
-0.802000,-0.063398,7.708828
-0.801000,-0.055690,7.689604
-0.800000,-0.048000,7.670404
-0.799000,-0.040330,7.651228
-0.798000,-0.032678,7.632076
-0.797000,-0.025046,7.612948
-0.796000,-0.017433,7.593844
-0.795000,-0.009840,7.574764
-0.794000,-0.002265,7.555708
-0.793000,0.005291,7.536676
-0.792000,0.012828,7.517668
-0.791000,0.020345,7.498684
-0.790000,0.027844,7.479724
-0.789000,0.035324,7.460788
-0.788000,0.042785,7.441876
-0.787000,0.050226,7.422988
-0.786000,0.057649,7.404124
-0.785000,0.065053,7.385284
-0.784000,0.072439,7.366468
-0.783000,0.079805,7.347676
-0.782000,0.087153,7.328908
-0.781000,0.094482,7.310164
-0.780000,0.101792,7.291444
-0.779000,0.109083,7.272748
-0.778000,0.116356,7.254076
-0.777000,0.123610,7.235428
-0.776000,0.130846,7.216804
-0.775000,0.138062,7.198204
-0.774000,0.145261,7.179628
-0.773000,0.152440,7.161076
-0.772000,0.159601,7.142548
-0.771000,0.166744,7.124044
-0.770000,0.173868,7.105564
-0.769000,0.180974,7.087108
-0.768000,0.188061,7.068676
-0.767000,0.195129,7.050268
-0.766000,0.202180,7.031884
-0.765000,0.209211,7.013524
-0.764000,0.216225,6.995188
-0.763000,0.223220,6.976876
-0.762000,0.230197,6.958588
-0.761000,0.237156,6.940324
-0.760000,0.244096,6.922084
-0.759000,0.251018,6.903868
-0.758000,0.257922,6.885676
-0.757000,0.264808,6.867508
-0.756000,0.271675,6.849364
-0.755000,0.278525,6.831244
-0.754000,0.285356,6.813148
-0.753000,0.292169,6.795076
-0.752000,0.298964,6.777028
-0.751000,0.305741,6.759004
-0.750000,0.312500,6.741004
-0.749000,0.319241,6.723028
-0.748000,0.325964,6.705076
-0.747000,0.332669,6.687148
-0.746000,0.339356,6.669244
-0.745000,0.346026,6.651364
-0.744000,0.352677,6.633508
-0.743000,0.359310,6.615676
-0.742000,0.365926,6.597868
-0.741000,0.372524,6.580084
-0.740000,0.379104,6.562324
-0.739000,0.385666,6.544588
-0.738000,0.392211,6.526876
-0.737000,0.398738,6.509188
-0.736000,0.405247,6.491524
-0.735000,0.411739,6.473884
-0.734000,0.418212,6.456268
-0.733000,0.424669,6.438676
-0.732000,0.431107,6.421108
-0.731000,0.437528,6.403564
-0.730000,0.443932,6.386044
-0.729000,0.450318,6.368548
-0.728000,0.456687,6.351076
-0.727000,0.463038,6.333628
-0.726000,0.469371,6.316204
-0.725000,0.475688,6.298804
-0.724000,0.481986,6.281428
-0.723000,0.488268,6.264076
-0.722000,0.494532,6.246748
-0.721000,0.500779,6.229444
-0.720000,0.507008,6.212164
-0.719000,0.513220,6.194908
-0.718000,0.519415,6.177676
-0.717000,0.525593,6.160468
-0.716000,0.531753,6.143284
-0.715000,0.537897,6.126124
-0.714000,0.544023,6.108988
-0.713000,0.550132,6.091876
-0.712000,0.556223,6.074788
-0.711000,0.562298,6.057724
-0.710000,0.568356,6.040684
-0.709000,0.574397,6.023668
-0.708000,0.580420,6.006676
-0.707000,0.586427,5.989708
-0.706000,0.592417,5.972764
-0.705000,0.598390,5.955844
-0.704000,0.604345,5.938948
-0.703000,0.610284,5.922076
-0.702000,0.616206,5.905228
-0.701000,0.622112,5.888404
-0.700000,0.628000,5.871604
-0.699000,0.633872,5.854828
-0.698000,0.639726,5.838076
-0.697000,0.645565,5.821348
-0.696000,0.651386,5.804644
-0.695000,0.657190,5.787964
-0.694000,0.662978,5.771308
-0.693000,0.668750,5.754676
-0.692000,0.674504,5.738068
-0.691000,0.680243,5.721484
-0.690000,0.685964,5.704924
-0.689000,0.691669,5.688388
-0.688000,0.697357,5.671876
-0.687000,0.703029,5.655388
-0.686000,0.708685,5.638924
-0.685000,0.714323,5.622484
-0.684000,0.719946,5.606068
-0.683000,0.725552,5.589676
-0.682000,0.731142,5.573308
-0.681000,0.736715,5.556964
-0.680000,0.742272,5.540644
-0.679000,0.747813,5.524348
-0.678000,0.753337,5.508076
-0.677000,0.758845,5.491828
-0.676000,0.764337,5.475604
-0.675000,0.769812,5.459404
-0.674000,0.775272,5.443228
-0.673000,0.780715,5.427076
-0.672000,0.786142,5.410948
-0.671000,0.791553,5.394844
-0.670000,0.796948,5.378764
-0.669000,0.802327,5.362708
-0.668000,0.807689,5.346676
-0.667000,0.813036,5.330668
-0.666000,0.818367,5.314684
-0.665000,0.823681,5.298724
-0.664000,0.828980,5.282788
-0.663000,0.834263,5.266876
-0.662000,0.839530,5.250988
-0.661000,0.844781,5.235124
-0.660000,0.850016,5.219284
-0.659000,0.855235,5.203468
-0.658000,0.860439,5.187676
-0.657000,0.865626,5.171908
-0.656000,0.870798,5.156164
-0.655000,0.875954,5.140444
-0.654000,0.881095,5.124748
-0.653000,0.886220,5.109076
-0.652000,0.891329,5.093428
-0.651000,0.896422,5.077804
-0.650000,0.901500,5.062204
-0.649000,0.906562,5.046628
-0.648000,0.911609,5.031076
-0.647000,0.916640,5.015548
-0.646000,0.921655,5.000044
-0.645000,0.926655,4.984564
-0.644000,0.931640,4.969108
-0.643000,0.936609,4.953676
-0.642000,0.941563,4.938268
-0.641000,0.946501,4.922884
-0.640000,0.951424,4.907524
-0.639000,0.956332,4.892188
-0.638000,0.961224,4.876876
-0.637000,0.966101,4.861588
-0.636000,0.970962,4.846324
-0.635000,0.975808,4.831084
-0.634000,0.980640,4.815868
-0.633000,0.985455,4.800676
-0.632000,0.990256,4.785508
-0.631000,0.995042,4.770364
-0.630000,0.999812,4.755244
-0.629000,1.004567,4.740148
-0.628000,1.009307,4.725076
-0.627000,1.014032,4.710028
-0.626000,1.018742,4.695004
-0.625000,1.023438,4.680004
-0.624000,1.028118,4.665028
-0.623000,1.032783,4.650076
-0.622000,1.037433,4.635148
-0.621000,1.042068,4.620244
-0.620000,1.046688,4.605364
-0.619000,1.051293,4.590508
-0.618000,1.055884,4.575676
-0.617000,1.060460,4.560868
-0.616000,1.065020,4.546084
-0.615000,1.069567,4.531324
-0.614000,1.074098,4.516588
-0.613000,1.078614,4.501876
-0.612000,1.083116,4.487188
-0.611000,1.087603,4.472524
-0.610000,1.092076,4.457884
-0.609000,1.096534,4.443268
-0.608000,1.100977,4.428676
-0.607000,1.105406,4.414108
-0.606000,1.109820,4.399564
-0.605000,1.114219,4.385044
-0.604000,1.118605,4.370548
-0.603000,1.122975,4.356076
-0.602000,1.127331,4.341628
-0.601000,1.131673,4.327204
-0.600000,1.136000,4.312804
-0.599000,1.140313,4.298428
-0.598000,1.144611,4.284076
-0.597000,1.148895,4.269748
-0.596000,1.153165,4.255444
-0.595000,1.157421,4.241164
-0.594000,1.161662,4.226908
-0.593000,1.165889,4.212676
-0.592000,1.170101,4.198468
-0.591000,1.174300,4.184284
-0.590000,1.178484,4.170124
-0.589000,1.182654,4.155988
-0.588000,1.186810,4.141876
-0.587000,1.190952,4.127788
-0.586000,1.195080,4.113724
-0.585000,1.199194,4.099684
-0.584000,1.203293,4.085668
-0.583000,1.207379,4.071676
-0.582000,1.211451,4.057708
-0.581000,1.215508,4.043764
-0.580000,1.219552,4.029844
-0.579000,1.223582,4.015948
-0.578000,1.227598,4.002076
-0.577000,1.231600,3.988228
-0.576000,1.235588,3.974404
-0.575000,1.239562,3.960604
-0.574000,1.243523,3.946828
-0.573000,1.247470,3.933076
-0.572000,1.251403,3.919348
-0.571000,1.255322,3.905644
-0.570000,1.259228,3.891964
-0.569000,1.263120,3.878308
-0.568000,1.266998,3.864676
-0.567000,1.270863,3.851068
-0.566000,1.274714,3.837484
-0.565000,1.278551,3.823924
-0.564000,1.282375,3.810388
-0.563000,1.286186,3.796876
-0.562000,1.289983,3.783388
-0.561000,1.293766,3.769924
-0.560000,1.297536,3.756484
-0.559000,1.301292,3.743068
-0.558000,1.305036,3.729676
-0.557000,1.308765,3.716308
-0.556000,1.312482,3.702964
-0.555000,1.316184,3.689644
-0.554000,1.319874,3.676348
